customer_id,first_name,last_name,email,country,product_id,product_name,category,price,quantity,order_date,status
1,John,Smith,john@gmail.com,USA,101,Laptop,Electronics,1200,1,2026-01-10,Completed
2,Sarah,Williams,sarah@gmail.com,Canada,102,Phone,Electronics,800,2,2026-01-12,Completed
3,David,Brown,david@gmail.com,UK,103,Headphones,Accessories,150,1,2026-01-15,Pending
4,Emma,Davis,emma@gmail.com,USA,104,Keyboard,Accessories,90,3,2026-01-20,Completed
5,Colin,Byrd,erinsaunders@example.org,UK,106,Mouse,Accessories,50,1,2026-06-09 15:03:25.549893,Cancelled
6,Dennis,Knight,gardnerbrittany@example.com,Australia,106,Mouse,Accessories,50,2,2026-06-12 15:03:25.550167,Cancelled
7,Kathryn,Ray,jennifertucker@example.com,Germany,102,Phone,Electronics,800,1,2025-11-16 15:03:25.550420,Cancelled
8,Rachel,Pearson,nicholsdeborah@example.com,USA,106,Mouse,Accessories,50,3,2026-02-09 15:03:25.550662,Completed
9,Alicia,Jones,rodriguezrachael@example.net,Germany,108,Charger,Accessories,40,1,2025-10-24 15:03:25.550908,Completed
10,Emily,Kelly,cynthiarodriguez@example.org,Canada,106,Mouse,Accessories,50,3,2026-02-03 15:03:25.551155,Completed
11,Christine,Johnston,keithmelissa@example.org,USA,103,Headphones,Accessories,150,2,2026-01-21 15:03:25.551401,Cancelled
12,Teresa,Phillips,alexanderjackson@example.net,Germany,108,Charger,Accessories,40,1,2026-06-14 15:03:25.551648,Pending
13,Juan,Fox,ryoung@example.org,Canada,105,Monitor,Electronics,400,1,2026-04-08 15:03:25.551846,Cancelled
14,Tanya,Williams,nicholeadams@example.com,USA,104,Keyboard,Accessories,90,3,2025-12-20 15:03:25.552485,Completed
15,Mark,Davidson,xescobar@example.org,Canada,107,Tablet,Electronics,600,4,2025-08-24 15:03:25.552696,Cancelled
16,Nancy,Avery,megan92@example.com,USA,103,Headphones,Accessories,150,1,2025-09-05 15:03:25.552881,Cancelled
17,Amber,Anderson,mgiles@example.com,USA,104,Keyboard,Accessories,90,3,2025-10-22 15:03:25.553079,Completed
18,Karen,Joseph,mlopez@example.org,Australia,101,Laptop,Electronics,1200,3,2026-05-06 15:03:25.553275,Pending
19,Zachary,Fisher,wpetersen@example.org,UK,102,Phone,Electronics,800,3,2025-09-26 15:03:25.553472,Completed
20,Ronald,Vasquez,brian36@example.org,Australia,107,Tablet,Electronics,600,2,2026-05-05 15:03:25.553651,Pending
21,James,May,nwells@example.net,Canada,103,Headphones,Accessories,150,3,2025-07-21 15:03:25.553852,Cancelled
22,Brittany,Jones,robertchavez@example.net,USA,107,Tablet,Electronics,600,2,2026-04-16 15:03:25.554098,Pending
23,Leah,Cox,johnballard@example.com,Australia,101,Laptop,Electronics,1200,3,2025-09-23 15:03:25.554383,Completed
24,Marie,Pham,cortega@example.org,Canada,101,Laptop,Electronics,1200,4,2025-11-24 15:03:25.554597,Completed
25,Tonya,Torres,eanderson@example.com,Australia,102,Phone,Electronics,800,5,2026-07-05 15:03:25.554822,Cancelled
26,Nicholas,Schwartz,martinezanthony@example.net,Canada,104,Keyboard,Accessories,90,2,2025-08-25 15:03:25.555061,Pending
27,Robert,Ayers,michael98@example.net,USA,106,Mouse,Accessories,50,5,2025-10-05 15:03:25.555238,Pending
28,Jason,Adams,fblankenship@example.net,Canada,102,Phone,Electronics,800,1,2025-10-18 15:03:25.555433,Cancelled
29,Vincent,Patterson,padillathomas@example.org,Australia,102,Phone,Electronics,800,1,2026-01-08 15:03:25.555672,Cancelled
30,Sara,Norton,shawnnguyen@example.com,Canada,101,Laptop,Electronics,1200,4,2026-01-25 15:03:25.555914,Cancelled
31,Richard,Wilkerson,brownchristopher@example.org,UK,107,Tablet,Electronics,600,2,2025-10-27 15:03:25.556155,Completed
32,William,Collins,sarahnoble@example.com,Australia,106,Mouse,Accessories,50,1,2025-08-06 15:03:25.556395,Completed
33,Melanie,Adams,connermelissa@example.org,Australia,108,Charger,Accessories,40,4,2025-12-10 15:03:25.556635,Cancelled
34,Cameron,Christian,charles98@example.net,Canada,104,Keyboard,Accessories,90,1,2026-02-10 15:03:25.556812,Pending
35,Michael,Lawrence,uallen@example.org,Australia,101,Laptop,Electronics,1200,4,2026-02-07 15:03:25.557007,Completed
36,Lori,Berry,watkinson@example.com,Australia,106,Mouse,Accessories,50,5,2025-11-14 15:03:25.557204,Cancelled
37,Isabella,Ruiz,ellen63@example.com,Germany,108,Charger,Accessories,40,3,2026-01-04 15:03:25.557444,Cancelled
38,Brent,Caldwell,feliciaestes@example.net,Germany,102,Phone,Electronics,800,5,2025-10-06 15:03:25.557705,Completed
39,Stanley,Anderson,christopherthomas@example.org,Canada,102,Phone,Electronics,800,3,2026-04-08 15:03:25.557989,Pending
40,Levi,Bailey,fpalmer@example.net,UK,105,Monitor,Electronics,400,3,2026-05-09 15:03:25.558186,Cancelled
41,Katherine,Pearson,watsonjacob@example.com,USA,104,Keyboard,Accessories,90,4,2026-01-02 15:03:25.558425,Completed
42,Rose,Wang,durhammary@example.com,USA,106,Mouse,Accessories,50,1,2025-09-15 15:03:25.558674,Pending
